,SMILES1,SMILES2,result
0,O=C(O)CCCCC(=O)O,Cc1ccc(-c2nc(N)nc(N)n2)cc1,1
1,Nc1cccc(N)c1,O=C(O)CCCCC(=O)O,1
2,CCn1cc(C)c(=O)[nH]c1=O,Cc1nc2ccccc2n1Cc1ccccc1Cn1c(C)nc2ccccc21,0
3,O=C(O)CCCCCC(=O)O,CCN(CC)CC(=O)Nc1c(C)cccc1C,1
4,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CCCc1cc(C(N)=S)ccn1,0
5,Nc1ccc(C(=O)O)c(O)c1,C(=Cc1ccncc1)c1ccncc1,1
6,Nc1nc(F)c(F)c(N)c1F,CCCOC(=O)C1(C#N)C(c2ccncc2)C2c3ccc(cc3)C3C(c4ccc(cc4)C21)C(c1ccncc1)C3(C#N)C(=O)OCCC,0
7,Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl,CC1=CC(=C2C=C(C)C(=O)C(C)=C2)C=C(C)C1=O,1
8,CSC(=S)NNC(=O)c1ccccc1O,CSC(=NNC(=O)c1ccccc1O)SC,1
9,Cc1cccc(NC(=O)Nc2cccc(C)n2)n1,O=C(O)Cc1ccc(CC(=O)O)cc1,1
10,c1ccc2cc3c(cc2c1)OCCOCCOCCOCCO3,NC(=S)C(N)=S,1
11,CCCCN1C(=O)C2(C(C(=O)c3ccccc3)=C(O)C(=O)N2c2cc(Cl)ccc2O)N(CCCC)C1=S,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],0
12,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1cccc2ccccc12,1
13,CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,Cc1nonc1NC(=O)Nc1nonc1C,0
14,CC(O)C(=O)O,Cc1ccc(C(O)(c2ccc(C)cc2)C2OC3(CCCCC3)OC2C(O)(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1
15,NC(CCC(=O)O)C(=O)O,c1ccc(-c2cc(CCc3ccc(CCc4cc(-c5ccccc5)cc(-c5ccccc5)c4)cc3)cc(-c3ccccc3)c2)cc1,0
16,Nc1c([NH3+])cccc1C(=O)[O-],Fc1c(F)c(I)c(F)c(I)c1F,0
17,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,O=C(O)c1ccccc1,1
18,CC12CCCC1C1CCC3CCCCC3(C)C1CC2,[Se]=CN1CC2CCCC(C2)C1,0
19,CN(C)c1ccc(C(=O)O)cc1,Fc1c(F)c(F)c(N=Cc2ccncc2)c(F)c1F,1
20,Nc1ccc(I)cc1,Fc1cccc(F)c1,0
21,CCCc1cc(=O)[nH]c(=S)[nH]1,Cc1cccc2c1N(c1ccccc1)c1ccccc1N2c1ccccc1,0
22,O=[As](c1ccccc1)(c1ccccc1)c1ccccc1,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1
23,Nc1nc(N)nc(-c2ccc(-c3ccncc3)cc2)n1,CCCCCCC(=O)O,1
24,N#Cc1ccc(O)cc1,N#Cc1ccc(C#N)cc1,0
25,c1cc2ccc1ccc1ccc(cc1)ccc1ccc(cc1)cc2,Clc1ccc2c(-n3cc(CN4CCCC4)nn3)ccnc2c1,0
26,CCC12C=C(C(=O)OC)n3c4c(c5ccccc53)CCN(CCC1)C42,O=C(O)C1CCC(C(=O)O)CC1,1
27,CC(C)[Si](OCCC#CC#CCOCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)(C(C)C)C(C)C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1N(C)C,0
28,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,Cc1ccc2cccc(O)c2n1,1
29,c1ccc2nc3ccccc3nc2c1,C/C(=C/C(=O)O)C(=O)O,1
30,N[C@@H](CCC(=O)O)C(=O)O,O=C(O)c1ccc(O)cc1,0
31,c1ccc2c(c1)cc(-c1ccc(-n3c4ccccc4c4ccccc43)cc1)c1ccccc12,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,0
32,CC1(C)C2CC3=C(SC4=C(S3)SC(=C3SC5=C(SCCS5)S3)S4)C1C2,Cc1n[nH]c(C)c1I,0
33,Nc1nc(-c2ccccc2)cs1,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,1
34,O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,CC(C)(C)[PH](=O)c1ccccc1,1
35,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,COc1cccc2c(OC)cccc12,1
36,Brc1cc(Br)c(Br)cc1Br,N1=C2NSN=C2NS1,0
37,IC(I)=C(I)C(I)=C(I)I,CC(CC(C)(C)O)=NNC(=O)c1ccncc1,0
38,c1c[nH]cn1,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,1
39,CC1(C)CC23OC4CC2(CC1OCc1ccccc1)C3c1ccccc14,CN1CCN(C)CC1,0
40,CCN(CC)c1ccc(C=Nc2cc(C)c(C)cc2N=Cc2ccc(N(CC)CC)cc2O)c(O)c1,CC(=O)CCCCC(C)=O,0
41,Cc1cc(C)cc(CN(Cc2ccc(COC(=O)c3cc(C)cc(C)c3)cc2)C(=O)c2cccnc2)c1,Cc1nnc(N)nc1C,0
42,c1cc(CCc2ccncc2)ccn1,O=C(O)CNC(=O)NCC(=O)O,1
43,Fc1c(F)c(F)c(F)c(F)c1F,COc1cccc(C=Nc2ccc(Br)cc2)c1O,0
44,C[N+]1(CC(=O)O)CCOCC1,O=C(O)c1ccc(O)cc1,1
45,CC(=O)NS(=O)(=O)c1ccc(N)cc1,CCOc1cc2c(cc1OCC)Sc1cc(OCC)c(OCC)cc1S2,0
46,CC(C)(C)c1cc(-n2cc(CNC(=O)Nc3ccc4c5c(cccc35)C(=O)N(CC(c3ccccc3)c3ccccc3)C4=O)nn2)cc(C(C)(C)C)c1,CN(C)c1ccc(C#Cc2cncnc2)cc1,0
47,O=C1OC(C(O)CO)C(O)=C1O,NC(=O)c1ccc(O)cc1,0
48,C1CNCCN1,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
49,c1ccc2c(c1)C1CC2c2cc3c(cc21)C1CC3c2cc3cc4c(cc3cc21)C1CC4c2cc3c(cc21)C1CC3c2ccccc21,CC(=O)Nc1ccc(C(=O)O)cc1,0
50,c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,S=CN1CC2CCCC(C2)C1,0
51,O=C(O)c1cccc(O)c1,c1cncc(-c2nnc(-c3cccnc3)o2)c1,1
52,CC(C)(C)c1cc(NC(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(C)(C)C)c1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,0
53,O=C(Cc1cccc2nn[nH]c12)c1ccc(F)cc1,O=C(Cc1cccc2[nH]nnc12)c1ccc(F)cc1,1
54,OCCCCCCCCCCCCO,Nc1ccc(N)cc1,1
55,ClC12C3=C4C5(Cl)C6=C1C1(Cl)C7=C2C2(Cl)c8c3c3c9c%10c%11c%12c%13c%14c%15c%11c3c3c%11c%16c%17c(c2c2c%18c%19c%20c%21c%22c%23c%24c(c%21c%18%17)C%16(Cl)C%16=C(C%14(Cl)c%14c(c%17c%18c%21c%14C%13(Cl)C%13=C%14c%25c%26c%27c(c5c5c%28c%27c%27c%29c%30c(c(c%25%27)C%13%21Cl)C%18(Cl)C(=C%13C%30(Cl)c%18c(c-%20c%20c(c1c(c1c%20c%18C%29(Cl)C1%28Cl)C65Cl)C%19(Cl)C72Cl)C%13%22Cl)C%17%23Cl)C(Cl)(C49Cl)C%10(Cl)C%26(Cl)C%14%12Cl)C%16%24Cl)C%15%11Cl)c83,ClC12c3c4c5c6c7c3C3(Cl)c8c1c1c9c%10c%11c%12c%13c%14c%15c%16c%17c%18c%19c%20c%21c(c8c9c%20c%11c%14%18)C8(Cl)C3(Cl)c7c3c7c6c6c9c%11c%14c%18c%20c(c%22c%23c%24c(c7c9c%18%23)C3(Cl)C8(Cl)C%21(Cl)C%24(Cl)C%19(Cl)C%22%17Cl)C%16(Cl)c3c-%20c7c8c9c3C%15(Cl)C3(Cl)c9c9c%15c8c8c%16c%17c(c%18c-4c2c2c4c%19c(c%15c%16c%184)C9(Cl)C(Cl)(C%133Cl)C%12(Cl)C%19(Cl)C%10(Cl)C21Cl)C5(Cl)C6(Cl)C%17(Cl)C%11(Cl)C8(Cl)C%147Cl,1
56,O[Te](O)(O)(O)(O)O,NC(N)=O,1
57,c1ccc2nc3ccccc3nc2c1,Cc1ccc(C(C)C)c(O)c1,1
58,COc1c(OC)c2cccc3c(OC)c(OC)c4cccc1c4c23,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,1
59,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,NS(=O)(=O)c1ccc(CC[NH+]=Cc2ccccc2[O-])cc1,0
60,CC(C)CC(C)O,O=C(OC(C(=O)O)C(OC(=O)c1ccccc1)C(=O)O)c1ccccc1,1
61,Fc1c(F)c(F)c2c(c1F)C#CC#Cc1c(F)c(F)c(F)c(F)c1C#CC#C2,c1cc2nc(c1)-c1cccc(n1)-c1ccc(cc1)OCCCCCCCCOc1ccc(cc1)CCC2,0
62,C=CN1CCCC1=O,Nc1nc(N)nc(-c2ccc(C(c3ccc(-c4nc(N)nc(N)n4)cc3)(c3ccc(-c4nc(N)nc(N)n4)cc3)c3ccc(-c4nc(N)nc(N)n4)cc3)cc2)n1,1
63,N#Cc1cc[n+]([O-])cc1,O=[N+]([O-])c1ccc(C=Cc2ccc(O)cc2)cc1,1
64,c1ccc2cc3nc4cnccc4nc3cc2c1,Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,1
65,CCl,C1#Cc2cc3cc(c2)C=NC2CCCCC2N=Cc2cc4cc(c2)C=NC2CCCCC2N=Cc2cc(cc(c2)C=NC2CCCCC2N=C3)C#Cc2cc3cc(c2)C=NC2CCCCC2N=Cc2cc(cc(c2)C=NC2CCCCC2N=Cc2cc1cc(c2)C=NC1CCCCC1N=C3)C#C4,0
66,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,c1ccc2c(c1)ccc1cccnc12,1
